
Age Range,Value,Name,Group Other,BirthDay,Numberid,คุณเกิดวันที่เท่าไหร่,เพศ,อายุ
31-35,3,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (Content เกี่ยวกับการ review ร้านอาหาร),Sport,19/9/2531,1,19/9/2531,ชาย,33
26-30,6,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (Content เกี่ยวกับการ review ร้านอาหาร),Sport,10/8/2536,2,10/8/2536,หญิง,28
26-30,6,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (Content เกี่ยวกับการ review ร้านอาหาร),Other,7/11/2536,3,7/11/2536,ชาย,28
26-30,4,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (Content เกี่ยวกับการ review ร้านอาหาร),ดูดวง,14/4/2537,4,14/4/2537,ชาย,27
26-30,4,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (Content เกี่ยวกับการ review ร้านอาหาร),สัตว์เลี้ยง,19/4/2538,5,19/4/2538,หญิง,26
26-30,4,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (Content เกี่ยวกับการ review ร้านอาหาร),Stock/Saving,25/4/2536,6,25/4/2536,ชาย,28
26-30,3,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (Content เกี่ยวกับการ review ร้านอาหาร),Technology,17/5/2535,7,17/5/2535,หญิง,29
26-30,5,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (Content เกี่ยวกับการ review ร้านอาหาร),Sport,2/4/2536,8,2/4/2536,ชาย,28
26-30,5,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (Content เกี่ยวกับการ review ร้านอาหาร),Technology,29/12/2536,9,29/12/2536,ชาย,28
36-40,3,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (Content เกี่ยวกับการ review ร้านอาหาร),กิจกรรมต่างๆ,11/11/2528,10,11/11/2528,ชาย,36
26-30,2,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (Content เกี่ยวกับการ review ร้านอาหาร),สัตว์เลี้ยง,11/3/2534,11,11/3/2534,ชาย,30
26-30,5,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (Content เกี่ยวกับการ review ร้านอาหาร),กิจกรรมต่างๆ,9/2/2535,12,9/2/2535,หญิง,29
